cond,overall_acc,overall_rt,subject
Audio,0.9555555555555555,0.40945578879780237,mm14
Congruent,0.9666666666666666,0.3727238098780314,mm14
Incongruent,1.0,0.3634212202495999,mm14
Visual,0.9444444444444444,0.3956356195755947,mm14
Audio,0.9666666666666666,0.24426090717315674,mm15
Congruent,0.9888888888888889,0.2672880349335847,mm15
Incongruent,1.0,0.28485944535997176,mm15
Visual,0.9888888888888889,0.2942149859887582,mm15
Audio,0.8999999999999999,0.3543780663131196,mm16
Congruent,0.9888888888888889,0.3413328621122572,mm16
Incongruent,1.0,0.36166228188408744,mm16
Visual,1.0,0.37338792218102346,mm16
Audio,0.9333333333333333,0.3735190992002134,mm17
Congruent,0.9555555555555555,0.3462346931298574,mm17
Incongruent,0.9777777777777779,0.33551226486394436,mm17
Visual,0.9666666666666666,0.35582107805911406,mm17
Audio,0.911111111111111,0.4671243426976381,mm18
Congruent,0.9555555555555555,0.3944335502606851,mm18
Incongruent,0.9777777777777779,0.36054002385080597,mm18
Visual,0.9555555555555555,0.43653255951257397,mm18
Audio,0.9888888888888889,0.30708709322376015,mm19
Congruent,1.0,0.26221293608347573,mm19
Incongruent,1.0,0.2640891472498576,mm19
Visual,1.0,0.2888049946890937,mm19
Audio,0.9666666666666666,0.3485732067514349,mm20
Congruent,1.0,0.3000126838684082,mm20
Incongruent,0.9777777777777779,0.31587096114217494,mm20
Visual,0.9777777777777779,0.32606680981906844,mm20
Audio,0.9444444444444444,0.42333422479806126,mm21
Congruent,0.9888888888888889,0.4250313420354584,mm21
Incongruent,1.0,0.4425710784064399,mm21
Visual,0.9888888888888889,0.4748615830032914,mm21
Audio,0.911111111111111,0.38950655710550003,mm22
Congruent,0.9222222222222223,0.33889299903386905,mm22
Incongruent,0.9222222222222223,0.3422824341573833,mm22
Visual,0.9444444444444444,0.3585733971688272,mm22
Audio,0.9222222222222223,0.48761800983805714,mm23
Congruent,1.0,0.3637025833129883,mm23
Incongruent,0.9888888888888889,0.3685825759981885,mm23
Visual,0.9888888888888889,0.43086061153882815,mm23
Audio,0.9555555555555555,0.29898594308782506,mm24
Congruent,1.0,0.2251680135726929,mm24
Incongruent,1.0,0.22061862680647107,mm24
Visual,0.9777777777777779,0.24568119990972825,mm24
Audio,0.9888888888888889,0.27712156802047916,mm25
Congruent,1.0,0.28228052192264136,mm25
Incongruent,1.0,0.29429606331719294,mm25
Visual,1.0,0.3073671499888102,mm25
Audio,0.9444444444444444,0.3935431660693369,mm26
Congruent,0.9666666666666666,0.349367739830488,mm26
Incongruent,0.9777777777777779,0.3367334086217998,mm26
Visual,0.9888888888888889,0.4271226194169786,mm26
Audio,0.9666666666666666,0.3148455281316498,mm27
Congruent,1.0,0.3039899984995524,mm27
Incongruent,1.0,0.2824138402938843,mm27
Visual,0.9888888888888889,0.3393697644457405,mm27
Audio,0.9777777777777779,0.3802245048829067,mm28
Congruent,0.9888888888888889,0.3726441724800769,mm28
Incongruent,1.0,0.3463061147265964,mm28
Visual,0.9888888888888889,0.36362890461344777,mm28
Audio,0.9777777777777779,0.30627989180294085,mm29
Congruent,1.0,0.3276502211888631,mm29
Incongruent,0.9888888888888889,0.3257640535448804,mm29
Visual,1.0,0.3472019116083781,mm29
Audio,0.9666666666666666,0.3753377443478431,mm30
Congruent,0.9777777777777779,0.34332242600711776,mm30
Incongruent,0.9333333333333333,0.3351224974349693,mm30
Visual,0.911111111111111,0.43062509519082526,mm30
Audio,0.911111111111111,0.43749699401266784,mm31
Congruent,0.9888888888888889,0.4013346722096573,mm31
Incongruent,0.9888888888888889,0.40176513077300274,mm31
Visual,0.8666666666666667,0.39971759564241616,mm31
Audio,0.9888888888888889,0.2928615575955238,mm32
Congruent,1.0,0.23257807360755076,mm32
Incongruent,1.0,0.2532428370581733,mm32
Visual,1.0,0.2443205992380778,mm32
